index,x,y
0,0.505246090121704,0.06528650438687811
1,0.42812232759738944,0.09653091566061256
2,0.12715997170127746,0.5967453089785958
3,0.22601200060423587,0.10694568430998297
4,0.2203062070705597,0.34982628500329926
5,0.46778748458230024,0.20174322626496533
6,0.6404067252149148,0.48306983555175165
7,0.5052367200185491,0.3868926511185593
8,0.7936374544415771,0.5800041788778066
9,0.16229859850231387,0.7007523466071562
10,0.9645510800892552,0.5000083611702167
11,0.8895200639461449,0.34161365267110966
12,0.5671441276277093,0.42754596329611005
13,0.436747263026799,0.7765591849971003
14,0.5356041734976563,0.9537422269448667
15,0.5442081601481021,0.0820949222750248
16,0.3663424016750204,0.8508505040045017
17,0.4062750430479508,0.02720236589484959
18,0.24717723899735333,0.06714437073695467
19,0.9938520114212729,0.9705803133771735
20,0.8002583511325868,0.6018171214054674
21,0.7649598604516815,0.16922544658417793
22,0.2930232318194398,0.5240668753003642
23,0.3566242811227589,0.04567896524540005
24,0.9831534453572127,0.4413549193548467
25,0.5040004393791526,0.32354131753469884
26,0.25974475274713704,0.3868898853207624
27,0.8320168996345009,0.7367470562871129
28,0.37921056694163746,0.01301733669455063
29,0.7974049390325936,0.2693887975963012
