policy_name,number_samples,average,standard_deviation
myopic,10,10.467782217782215,0
myopic,50,10.467782217782215,0
myopic,100,10.467782217782215,0
myopic,500,10.467782217782215,0
myopic,1000,10.467782217782215,0
balance,10,10.033216783216758,0
balance,50,10.033216783216758,0
balance,100,10.033216783216758,0
balance,500,10.033216783216758,0
balance,1000,10.033216783216758,0
iid_dp,10,10.3145854145854,0.07179380992370686
iid_dp,50,10.314235764235738,0.038110742451317965
iid_dp,100,10.283766233766212,0.0541838102529464
iid_dp,500,10.312487512487492,0.05081822933398619
iid_dp,1000,10.30844155844154,0.05139954796516936
indep_dp,10,10.503296703296686,0.04917820239011447
indep_dp,50,10.527572427572405,0.017592489849542915
indep_dp,100,10.546853146853133,0.009562010483109394
indep_dp,500,10.555044955044941,0.004150966360510215
indep_dp,1000,10.55229770229769,0.005230702833798749
lp_re_solving,10,9.993056943056938,0.1589835155222852
lp_re_solving,50,10.059690309690298,0.036538726139614036
lp_re_solving,100,10.013136863136854,0.04155760104429284
lp_re_solving,500,10.1640859140859,0.0
lp_re_solving,1000,10.164985014985001,0.0011011692150375866
optimal_dp,10,10.555944055944044,0
optimal_dp,50,10.555944055944044,0
optimal_dp,100,10.555944055944044,0
optimal_dp,500,10.555944055944044,0
optimal_dp,1000,10.555944055944044,0
